transition,rel_case1,rel_case2,rel_avg
310,0.0,0.0,0.0
311,0.0,0.0,0.0
312,0.0,0.0,0.0
313,0.0006127450980392157,0.0,0.00030637254901960784
314,0.000612369871402327,0.0,0.0003061849357011635
315,0.0,0.0,0.0
316,0.0,0.0,0.0
317,0.0,0.0,0.0
318,0.0,0.0,0.0
319,0.0,0.004965859714463066,0.002482929857231533
320,0.0,0.004941321803582459,0.0024706609017912293
321,0.0,0.0,0.0
322,0.0,0.006215040397762586,0.003107520198881293
323,0.0,0.006176652254478073,0.0030883261272390363
324,0.0,0.0,0.0
325,0.0,0.0,0.0
326,0.0,0.0,0.0
327,0.0,0.0,0.0
328,0.0,0.0,0.0
329,0.0,0.008722741433021807,0.004361370716510903
330,0.0,0.008647313156269302,0.004323656578134651
331,0.0,0.0,0.0
332,0.0,0.0,0.0
333,0.0,0.0031036623215394167,0.0015518311607697084
334,0.0,0.004323656578134651,0.0021618282890673254
335,0.0,0.0,0.0
336,0.0,0.0030978934324659233,0.0015489467162329617
337,0.0,0.0030883261272390363,0.0015441630636195182
338,0.0,0.0,0.0
339,0.004305043050430504,0.0,0.002152521525215252
340,0.004286589099816289,0.0,0.0021432945499081446
341,0.0,0.0,0.0
342,0.0,0.0,0.0
343,0.0,0.0,0.0
344,0.0,0.0,0.0
345,0.0,0.0,0.0
346,0.0,0.0,0.0
347,0.0,0.0,0.0
348,0.0,0.0,0.0
349,0.0,0.0,0.0
350,0.0,0.006215040397762586,0.003107520198881293
351,0.0,0.006176652254478073,0.0030883261272390363
352,0.0,0.0,0.0
353,0.0,0.0,0.0
354,0.0,0.0,0.0
355,0.0,0.0,0.0
356,0.0,0.0,0.0
357,0.0,0.0,0.0
358,0.0,0.0,0.0
359,0.0,0.0,0.0
360,0.0,0.0,0.0
361,0.0,0.0,0.0
362,0.0,0.0,0.0
363,0.0,0.0,0.0
364,0.0,0.0,0.0
365,0.0,0.0,0.0
366,0.0,0.0,0.0
367,0.0,0.0,0.0
368,0.0,0.0,0.0
369,0.0,0.0,0.0
370,0.0,0.0074673304293715,0.00373366521468575
371,0.0,0.0074119827053736875,0.0037059913526868438
372,0.0,0.0018564356435643563,0.0009282178217821782
373,0.0,0.0018529956763434219,0.0009264978381717109
374,0.0,0.0,0.0
375,0.0,0.0,0.0
376,0.0,0.0,0.0
377,0.0,0.0,0.0
378,0.0,0.0,0.0
379,0.0,0.0018656716417910447,0.0009328358208955224
380,0.0,0.010500308832612723,0.005250154416306362
381,0.0,0.0,0.0
382,0.0006127450980392157,0.0,0.00030637254901960784
383,0.000612369871402327,0.0,0.0003061849357011635
384,0.0,0.0,0.0
385,0.0,0.0,0.0
386,0.0,0.0,0.0
387,0.0,0.0,0.0
388,0.0,0.0,0.0
389,0.0,0.0,0.0
390,0.0,0.0,0.0
391,0.0,0.0,0.0
392,0.0,0.0,0.0
393,0.0,0.004342431761786601,0.0021712158808933004
394,0.0,0.004323656578134651,0.0021618282890673254
395,0.0,0.0,0.0
396,0.0,0.0,0.0
397,0.0,0.0,0.0
398,0.0,0.004965859714463066,0.002482929857231533
399,0.0006127450980392157,0.004941321803582459,0.0027770334508108374
400,0.000612369871402327,0.0,0.0003061849357011635
401,0.0,0.0018564356435643563,0.0009282178217821782
402,0.0,0.0018529956763434219,0.0009264978381717109
403,0.0,0.0,0.0
404,0.0,0.0,0.0
405,0.0,0.0,0.0
406,0.0,0.0,0.0
407,0.0,0.0,0.0
408,0.0,0.0,0.0
409,0.0,0.0,0.0
410,0.0,0.0018564356435643563,0.0009282178217821782
411,0.0,0.0018529956763434219,0.0009264978381717109
412,0.0,0.0,0.0
413,0.0,0.0,0.0
414,0.0,0.0,0.0
415,0.0,0.0,0.0
416,0.0018404907975460123,0.0,0.0009202453987730061
417,0.001837109614206981,0.0,0.0009185548071034905
418,0.0,0.0,0.0
419,0.0,0.0,0.0
420,0.0,0.0,0.0
421,0.0006127450980392157,0.0,0.00030637254901960784
422,0.000612369871402327,0.0,0.0003061849357011635
423,0.0,0.0,0.0
424,0.0,0.0,0.0
425,0.0,0.002476780185758514,0.001238390092879257
426,0.0,0.0024706609017912293,0.0012353304508956147
427,0.0,0.0,0.0
428,0.005541871921182266,0.0,0.002770935960591133
429,0.005511328842620943,0.002476780185758514,0.0039940545141897285
430,0.0,0.0024706609017912293,0.0012353304508956147
431,0.0,0.0,0.0
432,0.0,0.0,0.0
433,0.0006127450980392157,0.0,0.00030637254901960784
434,0.000612369871402327,0.0,0.0003061849357011635
435,0.0,0.0037197768133911966,0.0018598884066955983
436,0.0,0.0037059913526868438,0.0018529956763434219
437,0.0,0.0,0.0
438,0.0,0.0,0.0
439,0.0,0.0,0.0
440,0.0,0.0,0.0
441,0.0,0.0,0.0
442,0.0,0.0,0.0
443,0.0,0.0,0.0
444,0.0,0.0,0.0
445,0.0,0.0,0.0
446,0.0,0.0,0.0
447,0.0,0.0,0.0
448,0.0,0.0,0.0
449,0.0,0.0,0.0
450,0.0,0.0,0.0
451,0.0,0.0,0.0
452,0.0,0.0,0.0
453,0.0,0.0,0.0
454,0.0,0.0,0.0
455,0.0,0.0,0.0
456,0.0,0.0,0.0
457,0.0,0.0,0.0
458,0.0,0.0,0.0
459,0.0,0.0,0.0
460,0.0,0.0,0.0
461,0.0,0.0,0.0
462,0.0,0.0,0.0
463,0.0,0.0,0.0
464,0.0,0.0,0.0
465,0.0,0.0,0.0
466,0.0,0.0,0.0
467,0.0,0.0,0.0
468,0.0,0.0,0.0
469,0.0,0.0,0.0
470,0.0,0.0,0.0
471,0.0,0.0,0.0
472,0.0,0.0,0.0
473,0.0,0.0,0.0
474,0.0,0.0,0.0
475,0.0018404907975460123,0.0,0.0009202453987730061
476,0.001837109614206981,0.0,0.0009185548071034905
477,0.0,0.0,0.0
478,0.0,0.0,0.0
479,0.0,0.0,0.0
480,0.0,0.0,0.0
481,0.0,0.0,0.0
482,0.0,0.0,0.0
483,0.0,0.0,0.0
484,0.0,0.0,0.0
485,0.0,0.0,0.0
486,0.0,0.0,0.0
487,0.0,0.0074673304293715,0.00373366521468575
488,0.0,0.0074119827053736875,0.0037059913526868438
489,0.0,0.0,0.0
490,0.0,0.0,0.0
491,0.0,0.0,0.0
492,0.0018404907975460123,0.0031036623215394167,0.0024720765595427144
493,0.001837109614206981,0.004323656578134651,0.003080383096170816
494,0.0,0.0,0.0
495,0.0006127450980392157,0.0,0.00030637254901960784
496,0.000612369871402327,0.0,0.0003061849357011635
497,0.0,0.0,0.0
498,0.0,0.0,0.0
499,0.0,0.0,0.0
500,0.0,0.0,0.0
501,0.0,0.0,0.0
502,0.0,0.0,0.0
503,0.0,0.0,0.0
504,0.0,0.0,0.0
505,0.0,0.0,0.0
506,0.0,0.004965859714463066,0.002482929857231533
507,0.0,0.004941321803582459,0.0024706609017912293
508,0.0,0.0,0.0
509,0.0,0.0,0.0
510,0.0,0.0,0.0
511,0.0006127450980392157,0.0,0.00030637254901960784
512,0.000612369871402327,0.0,0.0003061849357011635
