transition,rel_case1,rel_case2,rel_avg
161,0.9841220423412205,0.9663009404388715,0.975211491390046
162,1.0,0.9688275434243176,0.9844137717121588
163,1.0,0.9777568922305765,0.9888784461152882
164,0.9551842598376015,0.840024706609018,0.8976044832233097
165,0.9550124533001245,1.0,0.9775062266500623
166,0.9440559440559441,0.974907063197026,0.959481503626485
167,0.9283935242839353,0.9385093167701863,0.9334514205270608
168,0.9211346633416458,0.9552238805970149,0.9381792719693304
169,0.8888194878201124,0.9151177199504337,0.901968603885273
170,0.9306683322923173,0.9756022235948116,0.9531352779435645
171,0.9694894146948941,1.0,0.9847447073474471
172,0.9690043832185348,0.9830142063001853,0.97600929475936
173,0.9694894146948941,0.983940704138357,0.9767150594166256
174,1.0,1.0,1.0
175,1.0,0.9717741935483871,0.9858870967741935
176,1.0,0.9454094292803971,0.9727047146401986
177,0.9838006230529595,0.9350931677018633,0.9594468953774113
178,0.9841220423412205,0.9468807906114886,0.9655014164763545
179,1.0,0.9830142063001853,0.9915071031500926
180,0.9344416562107905,0.983940704138357,0.9591911801745737
181,0.9343088418430884,1.0,0.9671544209215441
182,0.9685162094763092,0.9742396027312229,0.9713779061037661
183,0.95453125,0.9756022235948116,0.9650667367974058
184,0.9694894146948941,1.0,0.9847447073474471
185,1.0,1.0,1.0
186,0.8848039215686274,0.9830142063001853,0.9339090639344063
187,1.0,0.983940704138357,0.9919703520691785
188,1.0,1.0,1.0
189,1.0,1.0,1.0
190,1.0,1.0,1.0
191,0.9664408866995073,1.0,0.9832204433497537
192,0.9699754901960784,1.0,0.9849877450980392
193,1.0,1.0,1.0
194,1.0,0.9830142063001853,0.9915071031500926
195,0.9217791411042945,1.0,0.9608895705521472
196,0.9286151960784313,0.9767657992565055,0.9526904976674684
197,0.931087762669963,0.9756022235948116,0.9533449931323873
198,0.9329044117647058,1.0,0.9664522058823529
199,1.0,1.0,1.0
200,1.0,1.0,1.0
201,1.0,0.9830142063001853,0.9915071031500926
202,1.0,0.983940704138357,0.9919703520691785
203,0.9834660134721371,1.0,0.9917330067360686
204,0.9543908472479901,0.9220212102308172,0.9382060287394036
205,0.9548377219840783,0.9281288723667905,0.9414832971754344
206,1.0,1.0,1.0
207,0.9687691365584813,0.9749845583693638,0.9718768474639226
208,0.9690753214941825,0.983940704138357,0.9765080128162698
209,1.0,1.0,1.0
210,0.9840783833435395,1.0,0.9920391916717697
211,0.9834660134721371,1.0,0.9917330067360686
212,1.0,0.9851393188854489,0.9925696594427245
213,1.0,0.983940704138357,0.9919703520691785
214,1.0,1.0,1.0
215,1.0,1.0,1.0
216,1.0,0.9842105263157894,0.9921052631578947
217,0.9687691365584813,0.9830142063001853,0.9758916714293333
218,0.9690753214941825,0.983940704138357,0.9765080128162698
219,1.0,1.0,1.0
220,1.0,1.0,1.0
221,1.0,1.0,1.0
222,0.9687691365584813,1.0,0.9843845682792407
223,0.9329643296432965,1.0,0.9664821648216482
224,0.9530006123698714,1.0,0.9765003061849358
225,0.9834660134721371,1.0,0.9917330067360686
226,1.0,1.0,1.0
227,1.0,1.0,1.0
228,1.0,1.0,1.0
229,0.9840783833435395,1.0,0.9920391916717697
230,0.9834660134721371,1.0,0.9917330067360686
231,1.0,1.0,1.0
232,1.0,1.0,1.0
233,1.0,1.0,1.0
234,1.0,0.9847920546244568,0.9923960273122284
235,1.0,0.983940704138357,0.9919703520691785
236,1.0,1.0,1.0
237,1.0,1.0,1.0
238,1.0,0.9761462205700124,0.9880731102850062
239,0.9686346863468634,0.9689047029702971,0.9687696946585802
240,0.9690753214941825,0.983940704138357,0.9765080128162698
241,0.9840783833435395,1.0,0.9920391916717697
242,0.9834660134721371,1.0,0.9917330067360686
243,0.9840783833435395,0.978895096213532,0.9814867397785357
244,0.9834660134721371,0.9756022235948116,0.9795341185334744
245,1.0,1.0,1.0
246,0.9840783833435395,1.0,0.9920391916717697
247,1.0,1.0,1.0
248,0.9834660134721371,1.0,0.9917330067360686
249,1.0,1.0,1.0
250,1.0,1.0,1.0
251,1.0,1.0,1.0
252,1.0,1.0,1.0
253,1.0,1.0,1.0
254,1.0,1.0,1.0
255,1.0,1.0,1.0
256,1.0,1.0,1.0
257,0.9840783833435395,1.0,0.9920391916717697
258,0.9834660134721371,1.0,0.9917330067360686
259,1.0,1.0,1.0
260,0.9578182941903585,1.0,0.9789091470951792
261,0.9548377219840783,1.0,0.9774188609920391
262,0.984375,1.0,0.9921875
263,0.9314268142681427,1.0,0.9657134071340714
264,0.9548377219840783,1.0,0.9774188609920391
265,1.0,1.0,1.0
266,1.0,1.0,1.0
267,1.0,0.9830142063001853,0.9915071031500926
268,1.0,0.983940704138357,0.9919703520691785
269,1.0,1.0,1.0
270,1.0,1.0,1.0
271,1.0,1.0,1.0
272,1.0,1.0,1.0
273,1.0,0.9847920546244568,0.9923960273122284
274,1.0,0.983940704138357,0.9919703520691785
275,0.9840783833435395,1.0,0.9920391916717697
276,0.9834660134721371,1.0,0.9917330067360686
277,1.0,1.0,1.0
278,1.0,1.0,1.0
279,1.0,1.0,1.0
280,1.0,0.9754810676598387,0.9877405338299193
281,1.0,0.9756022235948116,0.9878011117974058
282,1.0,1.0,1.0
283,1.0,1.0,1.0
284,1.0,1.0,1.0
285,1.0,0.9761609907120743,0.9880804953560371
286,1.0,0.9756022235948116,0.9878011117974058
287,1.0,1.0,1.0
288,1.0,1.0,1.0
289,1.0,1.0,1.0
290,1.0,1.0,1.0
291,1.0,1.0,1.0
292,1.0,1.0,1.0
293,1.0,1.0,1.0
294,1.0,1.0,1.0
295,1.0,1.0,1.0
296,1.0,1.0,1.0
297,1.0,1.0,1.0
298,0.9840783833435395,1.0,0.9920391916717697
299,0.9834660134721371,1.0,0.9917330067360686
300,1.0,1.0,1.0
301,1.0,1.0,1.0
302,1.0,1.0,1.0
303,1.0,1.0,1.0
304,1.0,1.0,1.0
305,1.0,0.9844816883923029,0.9922408441961514
306,1.0,0.983940704138357,0.9919703520691785
307,1.0,1.0,1.0
308,1.0,1.0,1.0
309,1.0,1.0,1.0
310,1.0,1.0,1.0
311,1.0,1.0,1.0
312,1.0,0.9830142063001853,0.9915071031500926
313,0.984375,0.983940704138357,0.9841578520691785
314,0.9834660134721371,1.0,0.9917330067360686
315,1.0,0.9830142063001853,0.9915071031500926
316,1.0,0.983940704138357,0.9919703520691785
317,1.0,1.0,1.0
318,1.0,1.0,1.0
319,1.0,0.9844816883923029,0.9922408441961514
320,1.0,0.983940704138357,0.9919703520691785
321,1.0,1.0,1.0
322,1.0,0.9770043505282784,0.9885021752641392
